surface,winner,winner_hand,winner_age,loser_hand,loser_age,w_ace,w_SvGms,l_ace,l_SvGms,winner_rank,loser_rank
Hard,Player1,R,29.0047912389,R,22.8856947296,3,13,8,14,9,16
Hard,Player1,R,22.8856947296,R,33.7056810404,10,10,17,10,16,239
Hard,Player1,R,29.0047912389,R,31.8822724162,2,8,10,8,9,40
Hard,Player1,R,33.7056810404,R,19.8685831622,12,11,1,11,239,31
Hard,Player1,R,22.8856947296,R,28.0109514031,12,16,29,15,16,18
Hard,Player1,R,31.8822724162,R,26.4038329911,10,16,12,15,40,185
Hard,Player1,R,29.0047912389,R,27.627652293,5,12,8,12,9,19
Hard,Player1,R,33.7056810404,R,25.9247091034,11,10,3,11,239,77
Hard,Player1,R,19.8685831622,R,24.6981519507,1,9,5,9,31,72
Hard,Player1,R,22.8856947296,R,31.6303901437,16,10,6,10,16,240
Hard,Player1,R,28.0109514031,R,19.3347022587,21,11,3,10,18,131
Hard,Player1,R,31.8822724162,R,23.6796714579,17,15,13,14,40,35
Hard,Player1,R,26.4038329911,R,23.9780971937,15,11,7,11,185,14
Hard,Player1,R,27.627652293,R,29.5468856947,6,10,1,9,19,38
Hard,Player1,R,29.0047912389,R,26.3709787817,7,10,5,10,9,63
Hard,Player1,R,33.7056810404,R,22.7241615332,11,11,3,11,239,146
Hard,Player1,R,24.6981519507,L,25.9849418207,1,8,1,7,72,154
Hard,Player1,R,19.8685831622,R,19.4058863792,1,8,5,8,31,147
Hard,Player1,R,31.6303901437,R,26.9431895962,6,10,8,9,240,234
Hard,Player1,R,19.3347022587,R,31.6303901437,5,8,6,8,131,56
Hard,Player1,R,28.0109514031,R,29.453798768,18,8,4,7,18,67
Hard,Player1,R,23.6796714579,R,26.6502395619,44,18,27,18,35,62
Hard,Player1,R,31.8822724162,R,28.6844626968,15,15,10,14,40,57
Hard,Player1,R,26.4038329911,L,20.514715948,12,11,6,11,185,102
Hard,Player1,R,27.627652293,L,23.2607802875,9,10,1,9,19,75
Hard,Player1,R,29.5468856947,R,27.4442162902,8,15,12,15,38,61
Hard,Player1,R,26.3709787817,R,21.1745379877,8,17,22,17,63,49
Hard,Player1,R,30.71321013,R,33.28678987,5,14,3,14,24,71
Hard,Player1,R,30.71321013,R,31.6112251882,7,15,9,16,24,1
Hard,Player1,R,33.28678987,R,26.250513347,12,11,5,10,71,20
Hard,Player1,R,31.6112251882,R,26.8528405202,7,15,4,14,1,21
Hard,Player1,R,30.71321013,R,33.7604380561,2,10,7,10,24,66
Hard,Player1,R,26.250513347,R,28.5037645448,4,10,6,10,20,48
Hard,Player1,R,33.28678987,R,27.7891854894,6,9,5,9,71,55
Hard,Player1,R,31.6112251882,R,26.893908282,5,14,6,13,1,36
Hard,Player1,R,26.8528405202,R,21.196440794,8,10,6,9,21,68
Hard,Player1,R,33.7604380561,R,23.2224503765,5,11,9,11,66,43
Hard,Player1,R,30.71321013,R,35.575633128,2,9,2,8,24,105
